먹을,test
과징금,課徴金
과학,科学
과학적,科学的
관계,関係
관계자,関係者
관광,観光
관련,関連
관련성,関連性
관리,管理
관리비,管理費
광고,広告
괜히,訳もなく
굉장,凄い
굉장히,ものすごく
교류,交流
교시,教示
교원,教師、教員
교재,教材
교차,交わる
교통,交通
교통사고,交通事故
교포,同胞
교환,交換
교회,教会
구경,見物
구급차,救急車
구멍,穴
구별,区別
구분,区分
구체적,具体的
구,求める、手に入れる、救う
국가,国家
국내,国内
국물,汁、スープ
국민,国民
국수,麺
국어,国語
국외,国外
국제,国際
군대,軍隊
굵다,太い
굽다,焼く
궁금,気になる
권리,権利
권,すすめる
귀국,帰国
귀엽다,可愛い
규모,規模
규칙,規則
그간,その間
그거,それ
그건,それは
그걸,それを
그녀,彼女
그늘,日陰
그다지,さほど～ない、あまり
그동안,その間
그라운드,グラウンド、運動場
그래도,それでも
그러니,だから
그러다가,そうこうするうちに、そうこうしているうちに
그러면서,それなのに
그러므로,それゆえ
그럼,もちろん、そうだ、それなら
그렇게까지,そんなに、そこまでは、そこまででは
그렇다,そのようだ、そうだ
그렇다면,それならば
그리,それほど
그리다,描く
그리워,なつかしがる
그리,そのようにする
그리하여,そうして
그만,それくらいで
그만두다,やめる
그만큼,それくらい
그사이,その間
그야말로,まさに、それこそ
그전,以前
그쯤,そのくらい、その程度
그치다,やむ、終わる、やめる
그해,その年
극,劇
근거,根拠
근로차,勤労者
근무,勤務
근본,根本
글쓰기,文章を書くこと
글씨,文字
긇다,沸く
긇이다,沸かす
금방,今しがた、すぐに
금지,禁止する
급,急ぐ
급히,急に
긍정적,肯定的、前向き
기간,期間
기계,機械
기관,機関
기구,器具
기념,記念
기념품,記念品
기능,機能
기대,期待
기동,起動
기둥,柱
기록,記録
기르다,育てる
기름,油
기본,基本
기부,寄付
기뻐,嬉しがる
기쁨,喜び
기사,記事
기술력,技術力
기억나다,思い出す
기억,記憶する
기온,気温
기울이다,傾ける
기자,記者
기준,基準
기지다,持つ
기초,基礎
기침,咳
기타,その他
기행,紀行
기호,記号
기회,機会、チャンス
긴장,緊張
길가,道端
길거리,通り、路上
길이,長さ
길이 막히다,道が渋滞する
깊이,深さ、深く
까마귀,カラス
까만색,真っ黒い色
까맣다,真っ黒い
깔다,敷く
깜빡,ちらっと、ぱちりと、うっかり
깜짝,びっくり
깨끗이,きれいに
깨끗,清潔だ
깨어나다,覚める
깨우다,起こす
깨지다,壊れる、破れる
깻잎,エゴマの葉
꺼내다,取り出す
껌,チューインガム
꼬리,しっぽ
꼼꼼하게,几帳面に
꽃병,花瓶
꽤,かなり、なかなか
꿀,はちみつ
끊임없다,絶え間無い
끌다,引きずる、引く
끓이다,沸かす、作る（スープ、チゲなど）
끝내,最後まで、ついに
끼다,かける、はめる
나날이,日に日に
나란히,並んで
나머지,残り、余り
나물,ナムル
나비,蝶
나빠지다,悪くなる、悪化する
나서다,進み出る、関与する
나흘,４日、四日間
낙관,楽観
낚시,釣り
날개,翼、羽
날마다,毎日
날아가다,飛ぶ
날아다니다,飛び回る
낡다,古い
낡은 옷,古着
남녀,男女
남미,南米
낳다,生む、産む
내과,内科
내달,来月
내부,内部
내용,内容
내용물,中身、内容物
내주,来週
내후년,再来年
냄비,鍋
냉방,冷房
냉방병,冷房病
냉장고,冷蔵庫
너댓,4,5
너머,を超え
너무나,あまりにも
너무,度が過ぎている、あんまりだ、ひどい
너절,汚らしい
너희,お前たち、君たち
넉,四～、四つの～
널다,干す
널리,広く、寛大に
넘어가다,移る、過ぎる
넘어지다,倒れる、転ぶ
네가,お前が、君が
넥타이,ネクタイ
넷째,第四、第4
녀석,奴、野郎
년대,年代
년도,年度
노동,労働
노동자,労働者
노랗다,黄色い
노려보다,にらむ
노력,努力する
노인,老人
노트북,ノート型パソコン
녹다,溶ける
녹색,緑色
녹음,録音
녹음기,録音機
녹음되다,録音される
논담,冗談
놀랍다,驚くべきだ、目覚ましい
놀이,遊び
농담,冗談
농업,農業
농촌,農村
높이,高さ、高く
높이다,高める
놓이다,置かれる
놓치다,逃す、失う
뇌,脳
누르다,押さえる、押す
눈꺼풀,まぶた
눈물,涙
눈빛,目つき
눈앞,目先
눈치,勘、表情
느낌,感じ
느리다,のろい、遅い
늘어나다,伸びる、長くなる、増える
늙다,老いる
늙은 사람,年取った人、老人
능력,能力
다가오다,近づいてくる、接近する
다녀가다,寄っていく
다루다,扱う
다름없다,違いがない、同じだ
다만,単に、ただし
다방,喫茶店
다수,多数
다양,多様だ
다정,情深い、思いやりがある、やさしい
다행히,幸い、運よく
단,短
단계,段階
단순,単純
단어장,単語帳
단위,単位
단정,断定
단체,団体
단추,ボタン
닫히다,閉まる
달러,ドル
달리,他に、別に
닮다,似る
담그다,浸す、漬ける
담다,盛る
담당,担当
담당자,担当者
담요,毛布
담임,担任
답안,答案
닷새,５日（間）
당근,にんじん
당기다,引く、引っ張る
당시,当時
당신,あなた、ご自身
당연,当然
당일,当日
당장,その場で、即刻、今のところ
당,やられる
당황,狼狽、あわてふためく
대개,大概、大抵
대걸레,モップ
대금,代金
대다,当てる、触れる
대단,甚だしい、すごい、大したものだ
대도시,大都市
대량,大量
대로,とおり、まま
대명사,代名詞
대부분,大部分
대사관,大使館
대신,代わり
대중,大衆
대책,対策
대체,大体
대통령,大統領
대표,代表
대한민국,大韓民国
대화,対話
댄스,ダンス
더구나,その上、しかも、さらに
더러워지다,汚れる
더럽다,汚い
더,ひどくなる、加える
덕분,おかげ
던지다,投げる
덜,より少なく、まだ～ない
덜다,減らす
덜,減る、薄らぐ、減らす、少なくする
덮다,覆う、本を閉じる
데리다,連れる
데모,デモ
데이트,デート
도구,道具
도대체,一体全体
도둑,泥棒
도로,道路
도망,逃亡
도서실,ライブラリー、図書室
도저히,到底
도적,盗賊
도중,途中
독립,独立
독학,独学
돈까스,トンカツ
돌다,回る
돌려받다,返してもらう
돌리다,回す
돌아보다,振り向いて見る
돕다,助ける
동기,動機
동네,町内
동료,同僚
동사,動詞
동시,同時
동안,間
동양,東洋
동전,小銭、コイン、硬貨
동창,同窓
동호회,同好会
되게,すごく、とても
되돌리다,取り戻す
된소리,濃音
두껍다,厚い
두려움,恐れ
둘레,周り
둘째,２番目
뒷문,裏門
뒷자리,後席
드디어,いよいよ、ついに
드라이브,ドライブ
드라이어,ドライヤー
드문 일,まれなこと
드물다,まれだ
든지,～でも
듣다,聞く
들르다,立ち寄る
들어주다,聞いてくれる
들이다,入れる、費やす
등등,等々
등록증,登録証
등록,登録する
등산,登山、山登り
등산복,登山服
등산,登山する
등장,登場
따님,娘さん
따다,もぎとる、摘む、得る、獲得する
따라다니다,ついていく、つきまとう
따라서,従って
따라오다,ついてくる
따로,別に、他に
따로따로,別々、それぞれ
딱,ぽっかり、ぱっくり
딴,べつの、他の
땅,土地
때다,取る、離す
떠나가다,震える
떠나오다,去ってくる
떠들다,騒ぐ
떠오르다,浮かぶ
떠올리다,思い浮かべる
떨다,震える、震わす
떨리다,震える、揺れる
떼다,取る、離す
또다시,再び、また
또한,同様に
똑같다,まったく一緒だ
똑바로,まっすぐに、正しく
뚫다,穴を開ける
뛰어가다,走る
뛰어넘다,飛び越える
뛰어오다,走ってくる
뜨거워지다,熱くなる
뜨겁다,熱い
뜻대로,思いのままに、思い通りに
뜻밖에,意外に
뜻,志す、意味する
러시아,ロシア
레몬,レモン
레스토랑,レストラン
력,力
로비,ロビー
로써,～で (=으로써)
롭다,らしい
료,～料
률,～率
리듬,リズム
리터,リットル
리포트,レポート
마난,庭、広場
마늘,ニンニク
마다,ごと
마당,庭
마라톤,マラソン
마루,板の間
마르다,乾く、やせる
마무리,仕上げ
마을,村
마음대로,自分勝手に、気のままに、思い通りに
마음을 놓다,安心する
마이크,マイク
마주,向き合って
마중,出迎え
마지,まるで
마치,まるで、あたかも、ちょうど
마침,ちょうど、たまたま
마침내,遂に
막걸리,マッコリ
막내,末っ子
막다,ふさぐ、さえぎる
막히다,詰まる、塞がる
만남,出会い
만년필,万年筆
만세,万歳
만약,もしも、万一
만점,満点
만족,満足
만족감,満足感
만족,満足する
만지다,触る
만큼,くらい
많아지다,増える
맏이,長子
말고,～ではなくて
말고는,～以外は、～のほかは
말고도,～ではなくても
말다,やめる
말하자면,言わば
맑다,晴れている、澄んでいる
맞이,迎える
맞춤법,正書法
맡기다,任せる
맡다,引き受ける
매다,結ぶ
매달,毎月
매력적,魅力的
매점,売店
매주,毎週
매진되다,売り切れになる
매출,売上
맨,一番、もっとも
머리카락,髪、髪の毛
먹,億
먼지,ちり、ほこり
멀리,遠く
멈추다,止まる、泊まる
메뉴,メニュー
메모,メモ
메시지,メッセージ
면세점,免税店
면접관,面接官
명령,命令
명사,名詞
명예,名誉
명함,名刺
모델,モデル
모래,砂
모발,毛髪
모습,姿
모시다,仕える、招く、迎える
모음,母音
모임,集まり、会合
모험심,冒険心
목걸리,ネックレス
목마르다,喉が渇く
목숨,命
목욕,お風呂に入る
목이 마르다,のどが渇く
목표,目標
몸무게,体重
몹시,とても、たいへん、ひどく
못생기다,ぶさいくだ、不細工だ、醜い
무게,重さ
무관심,無関心
무기,武器
무너지다,崩れる
무대,舞台、ステージ
무덤,墓
무렵,頃
무료,無料
무릎,膝
무서워지다,怖がる
무선,無線
무섭다,恐ろしい
무시,無視
무역,貿易
무용,舞踊
무의미,無意味
무인,無人
무조건,無条件
무지개,虹
무책임,無責任
묵다,泊まる
문구,文具、文房具
문구점,文具店、文房具店、文房具屋
문득,ふと、はっと
문명,文明
문법,文法
문서,文書
문자,文字
문제점,問題点
문학,文学
문화적,文化的
묻히다,つける、まぶす
물가,物価
물다,咬む、口にくわえる
물론,もちろん
물리다,飽きる
물방울,水玉
물약,飲み薬、シロップ、水薬
물음,問い
물품,物品
미국인,アメリカ人、米国人
미남,美男
미녀,美女
미래,未来
미루다,延ばす
미리,あらかじめ、前もって
미만,未満
미술,美術
미술관,美術館
미싱,ミシン
미안스럽다,すまない、恐れ入る
미용사,美容師
미인,美人
미팅,合コン
민족,民族
믿음,信頼、信仰
밀다,押す
밀리미터,ミリメートル
밉다,憎い、醜い
및,および、及び
밑줄,下線
바깥,外、屋外、表
바뀌다,変えられる、替わる、変わる
바나나,バナナ
바느질,針仕事
바닥,底、底面、床
바닷가,海辺
바라다,願う、望む
바보,馬鹿
바위,岩
바치다,捧げる
박,～泊
박다,打つ、打ち込む
박물관,博物館
박사,博士
박수,拍手
반대,反対
반면,反面
반바지,半ズボン
반응,反応
받아들이다,受け入れる
받아쓰기,書き取り、ディクテーション
받침,パッチム
발가락,足の指
발견,発見
발급,発給
발달,発達
발목,足首
발바닥,足の裏
발생,発生
발자국,足跡
발톱,足の爪
발표자,発表者
발휘,発揮する
밝히다,明らかにする
밟다,踏む
밤낮,昼夜
밤새,夜の間
밤중,夜中
밥솥,釜
밥,ご飯を作る
방금,たった今
방송,放送
방송국,放送局
방송되다,放送される
방식,方式
방해,妨害、じゃま
방향,方向
밭,畑
배려,配慮する
배부르다,お腹いっぱい
배송,配送
배우,俳優
배우자,配偶者
배편,船便
백과사전,百科事典
뱀,蛇
버릇,癖、礼儀作法
번창,栄える
번호표,番号表
벌다,儲ける
벌레,虫
벌리다,あける、広げる
법,法、法律
벗,友
벗어나다,抜け出す、それる
베끼다,書き写す
벨,ベル
벼,稲
변경,変更
변,変わる
변함없이,変わらず
별로,別に、先ほど
보건실,保健室
보고,報告
보고회,報告会
보관,保管
보기,見本、例
보답,報いる
보물,宝物
보증금,保証金、敷金
보험,保険
보호,保護
복,福
복도,廊下
복되다,幸福で楽しい、幸福な、福々しい
복사,複写
복습,復習
복잡,混雑している、複雑だ、ややこしい
볶다,炒める、炒る
볶음밥,チャーハン、焼飯
본문,本文
본질,本質
볼일,用事
봉사,ボランティア、奉仕
봉지,紙袋、袋
봉투,封筒
부끄럽다,恥ずかしい
부담,負担、負い目
부담이 되다,負担になる
부담,負担する
부드럽다,柔らかい
부러워,うらやむ、羨む
부럽다,うらやましい
부분,部分
부사,副詞
부산,プサン
부서지다,壊れる
부인,夫人、奥さん
부자,金持ち
부정,不正
부지런,勤勉、マメなこと
부치다,送る
분명,明白、明らか
분명하게,はっきり
분명,明らかだ、はっきりしている
분야,分野
분위기,雰囲気
불경기,不景気
불교,仏教
불려주다,増やしてくれる
불만,不満
불빛,炎、あかり
불쌍,哀れだ
불안,不安
불어나다,増える、増す
불태우다,燃やす
불필요,不要、不必要
불합격,不合格
불합격자,不合格者
붉다,赤い
붓다,注ぐ
비관적,悲観的
비교,比較
비교적,比較的
비교,比べる
비록,たとえ～でも
비롯,～をはじめとする
비밀,秘密
비비다,こする、揉む、混ぜる
비상약,常備薬、非常用の薬
비스킷,ビスケット
비옷,レインコート
비용,費用
비우다,空にする、空ける
비자,ビザ
비타민,ビタミン
비판,批判
비판력,批判力
비,比べる
비행선,飛行船
빗,くし
빚,借金
빛,光
빠뜨리다,落とす
빠지다,落ちる、抜ける
빠짐없이,もれなく、抜かりなく
빨갛다,赤い
빨래,洗濯物
빨래를 ,洗濯をする
빼다,抜く、取り除く
빼앗기다,奪われる
빼앗다,奪う
뺨,頬
뼈,骨
뽑다,抜く、選ぶ
뿌리,根
뿌리다,振りまく
사 먹다,買って食べる、外食する
사각형,四角形
사거리,十字路
사건,事件
사고,事故
사교적,社交的だ
사귀다,付き合う、交わる
사라지다,消える
사망자,死亡者、死者
사먹다,外食する
사무,事務
사무소,事務所
사무실,事務室
사물,事物、物事
사업,事業
사업가,事業家、実業家
사업,事業する
사용되다,使用される
사용료,使用料
사용법,使用法
사용,使用する
사원,社員
사은품,謝恩品
사이트,サイト
사인,サイン
사정,事情
사진관,写真館
사진기,写真機、カメラ
사촌,いとこ
사탕,キャンディー、飴玉
사흘,３日、３日間
산책,散策、散歩
살리다,生かす
살찌다,太る、肉が付く
살피다,調べる、探る
삼촌,おじ（父の兄弟）
상대,相手
상자,箱
상처,傷
상태,状態
새끼,動物の子、野郎
새다,夜が明ける、夜明かしをする
새로,新たに
새벽,暁、未明
새우다,夜を明かす
샤프,シャープペン
서넛,三つか四つ
서두르다,急ぐ、焦る
서양,西洋
서점,書店
서투르다,下手だ
석유,石油
섞다,混ぜる
섞이다,混ざる、混じる
선배,先輩
선전,宣伝
섭섭,名残惜しい
성공,成功
성장,成長
성적,成績
성질,性質
세기,世紀
세로,縦、縦に
셋째,３番目
소나무,松
소녀,少女
소년,少年
소문,うわさ、評判
소비,消費
속,属する
손자,男の孫
솜씨,手並み、手際
쇠,鉄、金物、鍵、錠
수도,水道
수많이,数多く
수박,スイカ
수영,水泳
수입,収入、輸入
수출,輸出
수학,数学
수험,受験
숙소,やど
숨기다,隠す
숨다,隠れる
숲,森、林
스스로,自ら、自分で、自然と
스치다,かすめる、よぎる
스키,スキー
시골,田舎
시끄럽다,騒々しい
시내,市内
시다,すっぱい
시대,時代
시력,視力
시민,市民
시설,施設
시아버지,舅、夫の父
시어머니,姑、夫の母
시외,市外
시원,涼しい、さわやかだ
시집,詩集
시험장,試験場
시험지,答案用紙
식구,家族
식다,冷める、ぬるくなる、薄らぐ
식물,植物
식습관,食習慣
식초,酢
식탁,食卓
식후,食後
신기다,履かせる
신기술,新技術
신나다,浮かれる、興がのる
신도시,新都市
신문지,新聞紙
신상품,新商品
신성,新星、新しいスター
신장,身長
신청서,申込書
신형,新型
신호,信号
신혼부부,新婚夫婦
신혼여행,新婚旅行
싣다,乗せる、積む
실레,実例
실려,失礼
실수,ミス
실시,実施
실언,失言
실은,実は
실제,実際
실천,実践
실패,失敗
실험,実験
실험실,実験室
실험,実験する
심,～心
심각,深刻だ
심다,植える
심리,心理
심부름,お使い
심술,意地悪
심장,心臓
심장병,心臓病
심,ひどい、甚だしい、激しい
싱겁다,味が薄い、つまらない
싸우다,戦う、争う
싸움,喧嘩する
쌀을 씻다,米をとぐ
쌓다,積む、築く
쌓이다,積まれる
썩다,腐る
쏘다,射る、撃つ
쏟다,こぼす
쏟아지다,降り注ぐ、こぼれる、あふれる
쓰러지다,倒れる、床につく、滅びる
쓰레기,ゴミ
쓰레기통,ごみ箱
씨름,シルム（朝鮮相撲）
씩,～ずつ
씹다,噛む
아기,赤ちゃん
아깝다,もったいない、惜しい
아끼다,節約する、惜しむ
아나운서,アナウンサー
아드님,息子さん
아랫사람,目下の人
아무데,どこ
아무래도,どうにも、いずれにしても
아무런,いかなる、何の
아무리,いくら（～しても）
아무말,一言も
아쉬움,心残り
아쉽다,物足りない、心残りだ、望ましい
아이고,まあ、わあ
아이돌,アイドル
아프리카,アフリカ
아픔,痛み
악기,楽器
안내,案内
안내문,案内文
안내서,案内所
안내,案内する
안부,安否
안심,安心
안전,安全だ
알맞다,適当だ、合う、相応しい
알아보다,調べる、探る、見分ける、認める
알아주다,認める
앓다,患う、病む
암기,暗記する
앞길,前途
앞바다,沖、沖合
앞서,先に、先日、先だって
앞서다,先に立つ
애기,赤ちゃん
애를 먹다,苦労する
애인,恋人
앨범,アルバム
야근,残業、夜勤
야단맞다,叱られる
야단치다,叱りつける
야채 가게,八百屋
약간,若干
약방,薬局、薬屋
얇다,厚さが薄い
양,両
양배추,キャベツ
양복점,洋服店
얕다,浅い、薄い
어깨가 무겁다,肩が重い
어느게,どれが
어느쪽,どちら
어디까지나,あくまでも
어딘지,なんとなく、どことなく
어떠,どういうふうだ
어떡,どうする
어떻게든,どうにかして
어떻든지,いずれにしても
어려움,困難
어린애,幼児
어머나,あらまあ
어쨌든,とにかく、いずれにせよ
어학,語学
어휘,語彙
억,億
억지로,無理やり
언어,言語
언제든지,いつでも
언젠가,いつか
얹다,置く、載せる
얻어먹다,おごってもらう
얼다,凍る
얼른,早く、すぐ、すばやく
얼마간,いくらか
얼마든지,いくらでも
얼마만큼,どれくらい、どれほど
얼음,氷
업,業
업다,背負う
업무,業務
없애다,なくす、やりつくす、処分する
없어지다,なくなる
없이,～なしに
엊그제,一昨日
엘리베이터,エレベーター
여관,旅館
여권,パスポート、旅券
여유,余裕
여전히,依然として、相変わらず
여쭈다,（目上の人に）申し上げる、伺う
여행사,旅行会社、旅行社
여행을 떠나다,旅行に出る
역사적,歴史的
연간,年間、～年間
연결,連結する
연구,研究
연구실,研究室
연기,延期
연대,年代
연령,年齢
연수,研修
연습,練習する
연애,恋愛
연예인,芸能人
연주,演奏
열쇠,鍵
엽서,葉書
엿,飴
엿새,６日間、六日
예약,予約
오래,長く、久しく
오직,ただ、ひたすら、ひとえに
옥수수,トウモロコシ
옮기다,移す
옮다,移る、変わる
완성,完成
왜냐하면,なぜならば、なぜかというと
왠지,なぜだか
외치다,叫ぶ、わめく
요금,料金
요새,近頃、最近
욕,悪口
욕심,欲
용기,勇気
용돈,小遣い
우습다,おかしい、こっけいだ
울리다,鳴る、泣かせる、鳴らす
움직이다,動く、動かす
원숭이,サル
원인,原因
원,願う、望む
웬일,何事
위,～の為にする
윗사람,目上の人
유명,有名だ
유치원,幼稚園
유항,旅行
의논,相談
이거,これ
이건,これは
이걸,これを
이게,これが、これは
이끌다,引く、導く
이대로,このまま、このように
이래,以来
이러저러,かくかくしかじかである、そうこうである
이렇다,こうだ、このようだ
이루다,成す、作り上げる
이르다,着く、到着する
이만,これぐらいの、この程度の
이모,おば（母の姉妹）
이발,理髪、散髪
이불,布団
이어서,続いて、間もなく
이외,以外
이웃,隣接する、隣り合う
이익,利益
익히다,煮る、身につける、習う
인간,人間
인구,人口
인삼,朝鮮人参
일기,天気
일기예보,天気予報
일단,まず、一旦
일반,一般
일반인,一般人
일본인,日本人
일부,一部
일부러,わざと、わざわざ
일상생활,日常生活
일상적,日常的
일생,一生
일식,日本食
일용품,日用品
일으키다,起こす、興す
일자리,職業
일정,日程
일체,一切
일출,日の出
임금,賃金
임대료,賃貸料、レンタル料
임신부,妊産婦
입가,口元
입금,入金
입문,入門
입술,唇
입원,入院
입장료,入場料
잊혀지다,忘れられる
잎,葉
자격,資格
자격증,資格証
자극적,刺激的
자꾸만,しきりに、何度も
자녀,子女
자동,自動
자라나다,成長する、育つ
자료,資料
자르다,切る、切り離す
자막,字幕
자세,詳しい、細かい
자습,自習
자식,息子や娘、子息
자신,自分、自身
자신감,自信、自信感
자연,自然
자유,自由
자음,子音
자체,自体
작,～作
작가,作家
작곡,作曲
작문,作文
작사,作詞する
작아지다,小さくなる
작업,作業
작은딸,下の娘
작은아들,下の息子
작은아버지,叔父、おじ
작은어머니,叔父の妻、おば、叔母
작품,作品
잔돈,小銭
잔디밭,芝生
잘못되다,間違う、誤る
잘생기다,ハンサムだ、かっこいい
잠그다,鍵をかける
잠기다,掛かる、浸かる
잠들다,眠る
잠옷,パジャマ、寝間着
잠자리,トンボ
잡수다,召し上がる
잡아먹다,捕って食べる、食べる
잡히다,捕まる
장갑,手袋
장기적,長期的
장난감,おもちゃ
장녀,長女
장단점,長所と短所、一長一短、メリットとデメリット
장담,確信をもっていう
장래,将来
장마,梅雨、長雨
장사,商売
장소,場所
장애인,障害者
재검토,再検討
재다,測る、量る
재료,材料
재미,面白さ、楽しさ、景気、もうけ
재밀동포,在日韓国朝鮮人
재발급,再発給
재산,財産
재작년,一昨年
재확인,再確認
저거,あのもの、あれ
저건,あれは
저걸,あれを
저금,貯金
저러다,あのようにする、ああする
적극적,積極的
적당,適当だ、丁度良い
적당히,適当に
적어도,少なくとも
적어지다,少なくなる
적절,適切だ
적절히,適切に
전공,専攻
전국,全国
전기,電気
전기요금,電気料金
전날,前日
전문,専門
전문가,専門家
전문점,専門店
전반,前半
전부,全部
전시회,展示会
전원,電源
전자,電子
전쟁,戦争する
전체,全体
전체적,全体的
전통,伝統
전통시장,伝統市場、在来市場
전,伝える、知らせる
전후,前後
절,お辞儀、会釈
절대로,絶対に
절세,節税
절,お辞儀する
젊음,若さ
점원,店員
점점,だんだんと、徐々に
점차,徐々に
접다,折る、畳む
정,情
정기적,定期的
정류장,停留場
정리,整理、片づけ
정보,情報
정부,政府
정상적,正常的
정성껏,心をこめて
정신,精神
정신없다,忙しくて気が抜ける
정신을 잃다,気を失う
정신적,精神的
정월,正月
정이 들다,親しくなる
정치,政治
정확,正確だ
정확히,正確に
젖다,浸る、ぬれる
제공되다,提供される
제대로,きちんと、満足に
제법,なかなか、かなり
제안,提案
제외,除外する
제작,製作
제출,提出
제품,製品
제한,制限
조건,条件
조금씩,少しずつ、ゆっくりと、徐々に
조리,調理
조사,助詞
조심,用心すること
조용,静かだ
조용히,静かに
조절,調節
조직되다,組織される
조카,甥
조카딸,姪
졸다,居眠りする
졸리다,眠い
졸지에,突然
종교,宗教
종류,種類
종합,総合する、取りまとめる
좋아지다,よくなる
좌우되다,左右する
주간,～週間
주고받다,やり取りする
주로,主に、主として
주머니,ポケット、袋
주먹,こぶし、げんこつ
주목,注目
주문,注文
주문서,注文書
주민,住民
주변,周辺
주사,注射
주사를 맞다,注射を打たれる、注射を打ってもらう
주사,注射する
주어지다,与えられる
주위,周囲
주인,主人、持ち主
주인공,主人公
주장,主張
주제,主題、テーマ
주황색,だいだい色、オレンジ色
죽음,死
죽이다,殺す、かっこいい、すごい
준,準
준비물,持ち物、用意するもの
줄,綱、縄、列
줄다,減る
줄을 서다,並ぶ、列を作る
줄이다,減らす、縮める
중간,中間
중국어,中国語
중단,中断
중력,重力
중심,中心
중심지,中心地
중앙,中央
중요성,重要性
중요,重要だ
중지되다,中止になる
쥐,ネズミ
쥐다,握る、掴む、握られる、握らせる
즐거워,喜ぶ
즐거음,楽しみ
즐겁다,楽しい
즐기다,楽しむ、好む
증가,増加
지구,地球
지나가다,通り過ぎて
지나치다,行き過ぎ
지불,支払
지붕,屋根
지시되다,指示される
지역,地域
지우개,消しゴム
지우다,なくす、消す、落とす
지원자,支援者
지위,地位
지저분,汚らしい、散らかっている
지지율,支持率
지진,地震
지치다,疲れる、くたびれる
지켜보다,見守る、世話する
지하,地下
직원,職員
직장,職場
직접,直接
직접적,直接的
진실,真実
진심,真心、本気
진지,お食事
진찰,診察
진행,進行
질,質
짐,荷物、負担
집값,住宅価格
집단,集団
집사람,家内、妻
집안,家柄、家庭
집안일,家事、家の仕事
집주인,大家
집중,集中
짙다,濃い、深い
짝,一対のものの片方、ペア
찌다,（肉が）つく、太る
찜찜,気まずい
찢어지다,破れる
차갑다,冷たい
차라리,むしろ、かえって
차례,順序、順番
차를 끓이다,お茶を淹れる
차비,車代
차표,乗車券
착,善良だ、おとなしい、やさしい
참가,参加
참고,参考
참기름,ゴマ油
참다,こらえる、我慢する
참석,参席、参加
찻집,茶屋
창,窓
채우다,補う、満たす
책가방,ランドセル、学生かばん
책받침,下敷き
책임,責任
책장,本棚
처녀,処女
처리,処理
처지,立場、状態
천성,賛成
철,季節
철로,鉄道
철저,徹底している
첫,初めての、最初の、一つ目の
첫날,初日
첫사랑,初恋
첫째,一番目、第一
청년,青年、若者
청소,清掃、掃除
청소기,掃除機
